Collected yield stress data for olivine, from Evans and Goetze, JGR 1979		
		
T (ûC)	yield stress (Gpa)	
27	5.4	
118	5	
121	4.5	
121	4.5	
119	4.5	
277	3.8	
275	3.45	
280	3.8	
275	3.6	
420	2.85	
417	3	
412	2.75	
419	3	
500	2.75	
499	2.65	
504	2.26	
584	2.25	
587	2.25	
589	2.45	
640	2.05	
703	1.95	
705	1.8	
705	1.85	
705	2	
773	1.75	
773	1.3	
555	2.4	
554	2.4	
555	2.5	
555	2.6	
173	3.6	
168	4.4	
166	3.9	
237	3.35	
234	3.65	
229	3.35	
321	3.55	
317	3.2	
312	3.1	
307	3.15	
549	2.05	
550	2.05	
552	2.2	
554	2.05	
767	0.9	
768	0.9	
770	0.9	
501	2.4	
509	1.95	
505	2.45	
