Collected hardness data for Quartz, from Evans, JGR 1984		
		
T (ûC)	H (kg/mm^2)	yield stress (Gpa)
283	1061	10.3978
286	1010	9.898
288	999	9.7902
288	991	9.7118
440	946	9.2708
436	928	9.0944
427	957	9.3786
527	786	7.7028
525	809	7.9282
528	696	6.8208
530	758	7.4284
530	798	7.8204
530	786	7.7028
260	1032	10.1136
260	1035	10.143
260	1077	10.5546
260	960	9.408
465	965	9.457
470	890	8.722
465	890	8.722
816	734	7.1932
816	754	7.3892
820	792	7.7616
820	842	8.2516
820	740	7.252
820	730	7.154
251	1061	10.3978
256	1091	10.6918
256	1078	10.5644
261	1009	9.8882
329	1043	10.2214
334	879	8.6142
525	883	8.6534
518	901	8.8298
514	943	9.2414
514	855	8.379
510	951	9.3198
514	887	8.6926
669	782	7.6636
673	751	7.3598
688	741	7.2618
693	657	6.4386
743	692	6.7816
745	680	6.664
747	730	7.154
750	719	7.0462
759	678	6.6444
440	851	8.3398
424	830	8.134
415	897	8.7906
405	930	9.114
726	721	7.0658
726	721	7.0658
726	728	7.1344
726	715	7.007
726	724	7.0952
760	737	7.2226
720	767	7.5166
723	750	7.35
730	747	7.3206
550	979	9.5942
550	878	8.6044
327	918	8.9964
487	784	7.6832
485	846	8.2908
583	802	7.8596
487	815	7.987
492	850	8.33
495	760	7.448
497	762	7.4676
487	766	7.5068
487	790	7.742
487	784	7.6832
492	833	8.1634
497	820	8.036
497	811	7.9478
483	820	8.036
484	822	8.0556
485	756	7.4088
374	946	9.2708
379	911	8.9278
264	996	9.7608
259	943	9.2414
495	902	8.8396
495	800	7.84
497	806	7.8988
497	835	8.183
497	846	8.2908
550	770	7.546
558	820	8.036
565	805	7.889
565	731	7.1638
570	711	6.9678
584	758	7.4284
586	766	7.5068
590	782	7.6636
593	732	7.1736
593	762	7.4676
597	730	7.154
617	774	7.5852
283	1018	9.9764
282	1002	9.8196
273	1018	9.9764
641	707	6.9286
647	492	4.8216
652	634	6.2132
664	550	5.39
687	655	6.419
673	692	6.7816
683	710	6.958
683	621	6.0858
683	663	6.4974
683	701	6.8698
683	672	6.5856
683	818	8.0164
462	1214	11.8972
454	1320	12.936
448	1121	10.9858
436	1206	11.8188
473	726	7.1148
484	788	7.7224
491	756	7.4088
507	775	7.595
586	760	7.448
593	712	6.9776
603	719	7.0462
603	715	7.007
702	691	6.7718
683	730	7.154
662	737	7.2226
641	726	7.1148
569	734	7.1932
441	752	7.3696
431	957	9.3786
551	754	7.3892
589	739	7.2422
589	714	6.9972
704	714	6.9972
709	715	7.007
714	676	6.6248
695	728	7.1344
699	715	7.007
699	715	7.007
687	729	7.1442
687	737	7.2226
700	739	7.2422
607	750	7.35
709	700	6.86
353	952	9.3296
358	938	9.1924
373	813	7.9674
367	960	9.408
367	880	8.624
367	882	8.6436
362	904	8.8592
357	851	8.3398
556	804	7.8792
560	807	7.9086
560	807	7.9086
565	782	7.6636
565	772	7.5656
546	840	8.232
702	639	6.2622
702	694	6.8012
700	697	6.8306
697	714	6.9972
697	710	6.958
381	985	9.653
382	933	9.1434
384	940	9.212
393	965	9.457
391	971	9.5158
385	941	9.2218
384	960	9.408
382	1040	10.192
551	856	8.3888
551	870	8.526
551	910	8.918
556	842	8.2516
556	805	7.889
556	825	8.085
558	924	9.0552
624	822	8.0556
629	794	7.7812
629	811	7.9478
633	732	7.1736
743	719	7.0462
743	747	7.3206
745	730	7.154
746	730	7.154
