T (K)	kT (W/m/K)	a_th (mm^2/s)	rhoc
300	13.93	7.14	1950980.392
400	8.2	3.57	2296918.768
500	6.24	2.38	2621848.739
600	4.81	1.69	2846153.846
700	3.91	1.37	2854014.599
800	3.56	1.14	3122807.018
900	3.87	1.41	2744680.851
1000	4.56	1.54	2961038.961
1100	5.15	1.64	3140243.902
300	6.49	3.33	1948948.949
400	4.6	2	2300000
500	3.83	1.45	2641379.31
600	3.29	1.15	2860869.565
700	2.9	0.96	3020833.333
800	2.79	0.89	3134831.461
900	2.75	1	2750000
1000	3.39	1.14	2973684.211
1100	4.03	1.28	3148437.5
300	5.07	1.85	2740540.541
400	4.73	1.49	3174496.644
500	4.23	1.22	3467213.115
600	3.89	1.08	3601851.852
700	3.86	1.03	3747572.816
800	3.98	1.04	3826923.077
900	4.23	1.09	3880733.945
1000	4.77	1.2	3975000
1100	5.44	1.35	4029629.63
